0,1,2,3
5,36,0,200
12,90,1,201
13,96,2,202
49,74,3,203
75,11,4,204
2,53,5,205
16,69,6,206
11,69,7,207
71,48,8,208
28,97,9,209
96,97,10,210
31,24,11,211
52,68,12,212
54,5,13,213
11,54,14,214
68,84,15,215
81,75,16,216
37,91,17,217
30,99,18,218
41,35,19,219
18,51,20,220
42,77,21,221
58,66,22,222
68,14,23,223
11,80,24,224
36,92,25,225
14,60,26,226
85,35,27,227
84,26,28,228
66,79,29,229
0,61,30,230
74,6,31,231
87,64,32,232
80,31,33,233
6,17,34,234
17,24,35,235
57,93,36,236
53,92,37,237
25,41,38,238
84,26,39,239
11,21,40,240
90,80,41,241
41,86,42,242
61,44,43,243
93,1,44,244
65,39,45,245
76,75,46,246
18,98,47,247
88,2,48,248
28,39,49,249
41,51,50,250
36,66,51,251
32,78,52,252
40,64,53,253
59,92,54,254
48,8,55,255
23,34,56,256
57,73,57,257
77,99,58,258
18,1,59,259
89,32,60,260
93,81,61,261
82,27,62,262
15,28,63,263
65,83,64,264
27,65,65,265
66,60,66,266
65,92,67,267
36,76,68,268
65,85,69,269
17,19,70,270
47,99,71,271
7,87,72,272
24,51,73,273
5,89,74,274
52,55,75,275
54,74,76,276
90,3,77,277
24,97,78,278
93,7,79,279
47,2,80,280
87,23,81,281
57,68,82,282
83,91,83,283
87,87,84,284
15,44,85,285
73,54,86,286
44,38,87,287
6,21,88,288
75,92,89,289
14,21,90,290
5,20,91,291
84,72,92,292
46,75,93,293
66,34,94,294
53,73,95,295
35,99,96,296
52,71,97,297
65,93,98,298
34,25,99,299
